Fractional Occupancy,Natural Log of Partial Pressure
0.997967152,5.068583396
0.997773386,4.963012448
0.997450504,4.854963458
0.996804706,4.746053239
0.996353189,4.638508246
0.995965143,4.530308699
0.995125961,4.421952628
0.994544414,4.313571119
0.993640284,4.207859242
0.992929937,4.099953801
0.991509192,3.991118803
0.990605062,3.883434213
0.988732268,3.776414028
0.986730292,3.670682387
0.984147068,3.561188118
0.980272348,3.454437946
0.975945497,3.347508237
0.96871249,3.239035251
0.959929588,3.13176117
0.937227029,3.025553177
0.928156335,2.918084196
0.902324427,2.812428234
0.868484647,2.706929573
0.823531561,2.600947428
0.766577545,2.494551654
0.699543318,2.38771637
0.620434429,2.278866006
0.536285434,2.173505491
0.452138101,2.067262679
0.374191673,1.961215283
0.306252387,1.855746276
0.243610608,1.748808474
0.195305313,1.642638619
0.15713835,1.535929145
0.126462627,1.429899679
0.102826444,1.324355126
0.08461564,1.214654551
0.0687281,1.107684346
0.058460235,0.998217203
0.048192371,0.892571645
0.041476659,0.78721113
0.035599582,0.672995492
0.030303735,0.564068716
0.026881113,0.455143766
0.023005131,0.347843057
0.02048757,0.238646753
0.018292177,0.12838442
0.015386021,0.004450084
0.013642327,-0.105549422
0.01254463,-0.211770965
0.010644835,-0.321032052
0.00998057,-0.432784919
0.008818108,-0.546625528
0.007323513,-0.661454734
0.006825315,-0.775876828
0.005662853,-0.887946259
0.005330721,-0.995333939
